Configuration,Data,Compile Time (s),Solve Time (s)
Base,radiation/01.dzn,0.24510734984651208,0.023913082107901572
Base,radiation/02.dzn,0.30582690900191667,0.028090783022344114
Base,radiation/03.dzn,0.3193663267418742,0.031867857277393344
Base,radiation/04.dzn,0.39944209847599266,0.06285300282761455
Base,radiation/05.dzn,0.3814492827281356,0.07408921113237739
Base,radiation/06.dzn,0.42284395741298797,0.0830705595202744
Base,radiation/07.dzn,0.3188631976954639,0.03759916163980961
Base,radiation/08.dzn,0.41931043174117805,0.16300638895481825
Base,radiation/09.dzn,0.4676839098334312,0.2566952796652913
Incremental Rewriting,radiation/01.dzn,0.01925070183351636,0.01717325309291482
Incremental Rewriting,radiation/02.dzn,0.020097369328141212,0.014758218824863435
Incremental Rewriting,radiation/03.dzn,0.019597070664167403,0.03506866861134768
Incremental Rewriting,radiation/04.dzn,0.020147585589438678,0.046414986718446016
Incremental Rewriting,radiation/05.dzn,0.020718697272241116,0.07127303797751665
Incremental Rewriting,radiation/06.dzn,0.020426739938557148,0.0479787765070796
Incremental Rewriting,radiation/07.dzn,0.020852961204946042,0.031166965235024692
Incremental Rewriting,radiation/08.dzn,0.020653770212084054,0.240933208912611
Incremental Rewriting,radiation/09.dzn,0.020874314848333596,0.23791785333305598
Restart Based Search,radiation/01.dzn,0.0397587,0.0156963
Restart Based Search,radiation/02.dzn,0.03960400000000001,0.012639799999999998
Restart Based Search,radiation/03.dzn,0.039819400000000005,0.018935200000000003
Restart Based Search,radiation/04.dzn,0.044984100000000006,0.03167359999999999
Restart Based Search,radiation/05.dzn,0.045806799999999995, 0.068683
Restart Based Search,radiation/06.dzn,0.0460396,0.0317119
Restart Based Search,radiation/07.dzn,0.048206399999999996,0.016760999999999998
Restart Based Search,radiation/08.dzn,0.048394900000000005,0.1321796
Restart Based Search,radiation/09.dzn,0.048275,0.1422641
